timestamps,TP9,AF7,AF8,TP10,Right AUX
1738232365.557,-23.926,-30.762,-34.180,-8.789,-48.340
1738232365.561,-24.414,-31.738,-27.832,-21.484,-174.316
1738232365.564,-12.695,-22.461,-29.785,-7.324,-109.863
1738232365.568,-9.277,-22.461,-32.227,-24.414,-143.066
1738232365.572,-21.484,-27.832,-28.320,-22.461,-201.172
1738232365.576,-26.367,-25.391,-28.809,-2.441,-159.180
1738232365.580,-17.090,-28.320,-35.156,-13.672,142.090
1738232365.550,-17.578,-25.879,-37.598,-24.414,310.059
1738232365.554,-23.438,-19.531,-37.598,-33.691,-166.016
1738232365.558,-24.414,-20.996,-36.621,-41.992,-224.609
1738232365.562,-25.391,-24.902,-34.180,-25.879,143.555
1738232365.566,-23.438,-22.949,-37.598,-23.926,39.062
1738232365.570,-21.484,-21.484,-40.039,-28.320,-102.539
1738232365.574,-22.949,-26.855,-38.086,-25.391,11.230
1738232365.577,-26.855,-30.762,-35.156,-26.367,210.938
1738232365.581,-27.832,-28.809,-32.715,-27.832,164.062
1738232365.585,-18.555,-29.785,-31.738,-27.344,-104.980
1738232365.589,-13.184,-37.109,-31.738,-25.879,-191.895
1738232365.593,-19.531,-30.273,-35.645,-41.016,-89.355
1738232365.596,-30.762,-22.461,-37.109,-37.598,-140.137
1738232365.600,-32.227,-23.438,-32.715,-13.184,-135.742
1738232365.604,-23.438,-16.602,-26.367,-3.906,-52.734
1738232365.608,-14.648,-14.160,-23.926,-13.672,396.484
1738232365.612,-16.113,-14.648,-12.695,-20.020,417.969
1738232365.616,-13.184,0.977,14.160,-7.812,-117.676
1738232365.620,-20.508,-4.883,8.789,-10.742,80.078
1738232365.623,-36.133,-20.020,-20.020,-28.320,572.266
1738232365.627,-33.691,-16.602,0.977,-37.109,31.738
1738232365.631,-25.879,-11.230,19.531,-38.086,-367.676
1738232365.635,-63.965,-22.461,-11.230,-67.383,-81.543
1738232365.639,-99.121,-26.367,14.648,-78.125,-8.301
1738232365.685,-81.055,8.789,134.277,-77.637,-149.902
1738232365.689,-138.184,-6.836,67.871,-159.668,-229.980
1738232365.693,-157.715,-27.832,2.441,-165.039,-44.434
1738232365.697,-151.367,-4.395,72.266,-155.273,-71.289
1738232365.701,-189.941,32.715,87.402,-194.824,-219.727
1738232365.705,-218.750,52.734,146.973,-211.426,20.020
1738232365.709,-252.441,39.062,194.824,-266.602,421.875
1738232365.712,-303.711,60.547,148.438,-334.473,382.812
1738232365.716,-314.941,88.379,166.992,-335.938,-114.746
1738232365.720,-348.633,92.773,270.020,-350.098,-185.059
1738232365.724,-379.395,106.934,289.551,-341.309,-12.207
1738232365.728,-337.891,132.324,306.641,-300.781,-159.180
1738232365.731,-308.105,164.551,419.922,-325.684,-321.777
1738232365.735,-309.082,158.203,611.328,-335.938,-252.930
1738232365.739,-337.402,151.367,698.242,-334.961,-140.137
1738232365.743,-305.664,181.641,874.512,-278.320,-117.188
1738232365.747,-283.691,142.090,985.352,-285.645,-176.758
1738232365.751,-294.922,108.398,960.449,-326.660,-124.023
1738232365.755,-285.645,163.574,969.727,-289.062,38.574
1738232365.758,-261.230,167.480,969.238,-250.977,-61.035
1738232365.762,-276.855,178.711,969.238,-272.461,-177.734
1738232365.766,-306.152,225.586,969.238,-304.199,101.562
1738232365.770,-249.512,182.129,969.238,-247.559,355.957
1738232365.774,-234.863,147.461,969.238,-232.422,0.488
1738232365.745,-330.078,159.180,969.238,-326.660,-235.840
1738232365.749,-271.973,243.652,969.238,-246.094,56.641
1738232365.753,-230.957,323.730,969.238,-202.148,94.238
1738232365.757,-286.133,421.387,969.238,-298.828,-120.117
1738232365.761,-323.730,541.016,969.238,-354.980,-261.719
1738232365.765,-272.949,643.066,969.238,-307.617,239.746
1738232365.769,-179.199,746.094,969.238,-190.918,829.102
1738232365.772,-223.633,866.211,969.238,-213.379,313.477
1738232365.776,-236.328,955.566,969.238,-249.512,-70.801
1738232365.780,-214.355,970.703,969.238,-252.930,-38.574
1738232365.784,-243.164,966.797,969.238,-272.949,-209.961
1738232365.788,-279.297,969.727,969.238,-288.574,-283.691
1738232365.805,-294.922,968.750,969.238,-293.945,-181.641
1738232365.809,-245.605,969.238,969.238,-242.188,47.852
1738232365.813,-259.766,969.238,969.238,-276.367,-21.973
1738232365.817,-283.203,969.238,969.238,-290.527,-263.184
1738232365.821,-250.000,969.238,969.238,-243.164,-184.082
1738232365.825,-222.168,969.238,969.238,-233.398,712.891
1738232365.829,-210.938,969.238,968.750,-248.535,883.789
1738232365.832,-190.918,969.238,969.238,-231.934,-69.336
1738232365.836,-138.184,969.238,969.238,-155.273,-204.102
1738232365.840,-114.258,969.238,969.238,-110.352,264.160
1738232365.844,-87.402,969.238,968.750,-72.754,-34.668
1738232365.848,-59.082,969.238,969.238,-51.758,-265.625
1738232365.835,-59.082,969.238,969.238,-62.500,-96.680
1738232365.839,-28.809,969.238,969.238,-36.621,-168.457
1738232365.843,-13.672,969.238,969.238,-13.184,-346.191
1738232365.847,-32.227,969.238,968.750,-32.715,-138.672
1738232365.851,-27.344,969.238,969.727,-29.785,225.586
