timestamps,TP9,AF7,AF8,TP10,Right AUX
1738233855.757,-24.902,-76.172,-36.621,-23.926,-235.352
1738233855.761,-45.898,-101.074,-40.039,-23.926,140.137
1738233855.765,-60.547,-98.633,-35.645,-23.926,234.375
1738233855.768,-33.691,-71.289,-28.809,-30.762,-153.809
1738233855.772,-11.230,-73.730,-34.180,-27.832,-287.109
1738233855.776,-20.996,-92.773,-41.504,-24.902,25.391
1738233855.780,-43.945,-95.703,-41.016,-35.156,128.906
1738233855.784,-55.664,-88.867,-42.969,-27.832,-203.125
1738233855.800,-35.645,-77.637,-48.828,-25.879,-248.535
1738233855.804,-16.602,-77.148,-45.898,-40.039,-73.242
1738233855.808,-12.695,-76.172,-43.945,-37.598,-18.066
1738233855.812,-26.855,-78.613,-51.758,-32.715,-163.086
1738233855.816,-55.176,-95.215,-56.641,-35.645,-174.805
1738233855.820,-47.363,-81.055,-50.781,-21.484,54.199
1738233855.824,-14.648,-66.406,-54.199,-24.902,-40.039
1738233855.827,-6.836,-76.660,-60.059,-26.367,-116.211
1738233855.831,-17.090,-82.520,-52.734,-16.113,83.496
1738233855.835,-50.781,-95.215,-47.363,-21.973,443.848
1738233855.839,-48.828,-79.102,-47.363,-29.297,258.301
1738233855.843,-7.324,-52.734,-49.805,-36.621,-229.492
1738233855.846,-0.977,-59.570,-48.340,-30.273,-39.062
1738233855.850,-13.672,-63.477,-49.316,-20.020,93.262
1738233855.854,-40.527,-73.242,-57.129,-25.879,-174.805
1738233855.858,-38.574,-65.918,-55.176,-25.879,-300.781
1738233855.862,-9.766,-56.152,-55.176,-13.184,-189.453
1738233855.866,-8.789,-61.523,-54.688,-11.230,38.086
1738233855.870,-25.391,-66.406,-54.199,-16.602,-13.184
1738233855.873,-52.734,-74.219,-56.152,-31.250,-249.023
1738233855.877,-62.988,-85.449,-58.594,-42.480,-3.418
1738233855.881,-22.461,-73.242,-63.477,-42.480,309.082
1738233855.885,-6.348,-60.059,-62.012,-37.598,-63.965
1738233855.889,-18.555,-68.848,-62.988,-32.715,-199.219
1738233855.892,-38.086,-81.055,-61.035,-26.367,33.691
1738233855.896,-53.223,-78.613,-61.035,-31.250,-100.586
1738233855.900,-23.926,-63.477,-64.941,-25.391,-241.699
1738233855.904,4.883,-66.406,-64.941,7.812,-91.797
1738233855.908,6.836,-68.848,-67.871,-1.465,133.789
1738233855.912,-0.977,-67.383,-59.082,19.043,161.133
1738233855.916,-22.949,-75.195,-40.527,16.602,27.344
1738233855.919,-26.855,-73.242,-35.645,-42.480,-116.211
1738233855.923,-19.043,-83.008,-37.109,-44.922,407.227
1738233855.927,-12.695,-85.938,-39.062,-25.879,535.156
1738233855.931,-44.434,-91.309,-36.133,-54.688,-110.352
1738233855.935,-92.773,-111.816,-27.344,-70.312,-251.953
1738233855.935,-96.680,-104.492,-24.414,-83.008,-207.520
1738233855.939,-68.848,-88.379,-20.996,-82.520,-254.395
1738233855.943,-72.754,-94.727,-9.277,-70.312,-215.332
1738233855.947,-120.117,-109.375,-3.906,-105.957,-169.434
1738233855.951,-131.348,-122.559,-4.883,-83.984,-184.570
1738233855.955,-129.883,-117.676,2.441,-86.426,-80.078
1738233855.959,-98.145,-113.281,1.953,-81.543,-68.848
1738233855.962,-84.961,-132.812,3.418,-70.312,108.887
1738233855.966,-121.582,-147.461,-2.441,-96.680,519.531
1738233855.970,-147.461,-151.367,-13.672,-85.938,75.684
1738233855.974,-158.691,-148.438,-8.301,-103.516,-321.289
1738233855.978,-118.164,-145.996,-5.371,-105.957,-157.227
1738233855.981,-100.586,-149.414,-7.812,-87.402,-133.789
1738233855.985,-105.469,-154.785,-8.301,-68.359,-196.777
1738233855.989,-125.000,-175.293,-13.672,-50.293,-180.664
1738233855.993,-123.047,-169.434,-22.461,-39.551,-84.473
1738233855.997,-70.801,-144.043,-34.180,-51.270,-137.207
1738233856.001,-46.387,-135.254,-32.715,-48.828,-6.348
1738233856.005,-41.992,-127.441,-27.832,-47.363,111.328
1738233856.008,-56.641,-142.578,-39.062,-41.992,425.293
1738233856.012,-79.590,-138.672,-42.969,-22.949,516.602
1738233856.016,-54.199,-107.422,-36.621,1.465,28.809
1738233856.020,-26.855,-102.051,-40.527,7.324,-65.918
1738233856.024,-31.250,-103.516,-45.898,-13.184,188.965
1738233856.040,-48.340,-106.934,-46.387,-34.180,-52.246
1738233856.044,-55.664,-115.723,-47.363,-46.387,-267.578
1738233856.048,-27.832,-99.121,-48.828,-40.527,-160.645
1738233856.052,-22.461,-83.008,-45.410,-19.043,-137.695
1738233856.056,-22.461,-78.125,-45.898,-1.953,-124.023
1738233856.060,-31.738,-75.195,-42.969,-9.766,-103.516
1738233856.064,-59.570,-83.496,-42.480,-24.902,89.355
1738233856.067,-35.645,-70.312,-42.969,-26.855,392.578
1738233856.071,0.488,-42.969,-47.363,-36.621,-48.340
1738233856.075,1.953,-47.852,-46.875,-32.227,-271.484
1738233856.079,-15.137,-68.359,-39.062,-12.207,139.648
1738233856.083,-51.758,-73.730,-42.969,-19.531,147.461
1738233856.070,-57.129,-60.059,-41.504,-41.992,-272.461
1738233856.074,-20.020,-57.617,-34.180,-13.672,-282.227
1738233856.078,2.441,-61.035,-28.809,12.207,16.113
1738233856.082,-4.395,-52.734,-28.320,-6.348,-58.594
1738233856.086,-43.457,-65.918,-34.668,-29.297,-274.414
1738233856.090,-48.340,-68.848,-36.621,-26.367,-90.820
1738233856.094,-9.766,-44.434,-34.668,-23.926,137.207
1738233856.097,6.836,-44.922,-39.062,-17.578,-48.340
1738233856.101,-6.836,-56.152,-40.039,-10.742,-172.363
1738233856.105,-41.504,-63.965,-40.527,-19.043,-190.430
1738233856.109,-52.734,-71.777,-45.410,-30.762,298.828
1738233856.113,-9.766,-46.875,-42.969,-30.273,348.145
1738233856.116,4.395,-32.227,-40.039,-20.020,-57.617
1738233856.120,-13.672,-40.527,-41.504,-24.902,-20.020
1738233856.124,-43.457,-48.340,-43.945,-47.363,-19.531
1738233856.128,-57.617,-55.664,-41.016,-41.016,-226.074
1738233856.132,-8.301,-40.039,-33.203,-28.809,-316.895
1738233856.136,22.461,-39.551,-29.297,-31.738,-72.754
1738233856.140,-1.465,-48.828,-32.227,-36.133,158.203
1738233856.143,-43.457,-50.781,-35.645,-30.273,-25.391
1738233856.147,-67.871,-53.223,-34.668,-33.691,-228.027
1738233856.151,-31.250,-47.852,-34.668,-38.574,-49.316
1738233856.155,-1.953,-36.621,-37.109,-46.387,59.082
1738233856.159,-14.648,-36.621,-38.574,-54.199,-142.578
1738233856.176,-33.691,-52.734,-40.039,-45.410,-180.176
1738233856.180,-61.523,-63.965,-37.109,-40.039,-108.398
