timestamps,TP9,AF7,AF8,TP10,Right AUX
1738231431.598,-132.324,-74.707,10.254,-123.047,136.719
1738231431.602,-147.949,-76.660,18.555,-110.840,-88.379
1738231431.606,-128.906,-71.777,21.484,-86.914,-279.297
1738231431.610,-144.043,-82.031,22.461,-98.633,-283.691
1738231431.614,-133.789,-88.867,15.625,-91.797,229.004
1738231431.586,-146.973,-82.031,20.996,-99.121,229.004
1738231431.590,-137.207,-75.195,19.531,-84.961,-177.246
1738231431.594,-109.375,-76.172,17.090,-82.520,-179.688
1738231431.598,-113.770,-82.520,15.137,-100.098,-203.613
1738231431.602,-103.516,-80.566,6.836,-91.309,-214.355
1738231431.606,-118.652,-67.871,4.395,-82.031,-165.527
1738231431.610,-104.004,-64.941,0.488,-58.105,64.941
1738231431.613,-92.285,-68.848,2.930,-53.711,138.184
1738231431.617,-92.285,-64.453,2.441,-60.547,-166.504
1738231431.621,-71.777,-61.035,-6.348,-47.363,-278.320
1738231431.625,-77.148,-59.570,-22.461,-39.551,-54.199
1738231431.629,-91.309,-56.152,-30.273,-35.645,-1.465
1738231431.630,-66.406,-41.992,-15.625,-38.574,-164.551
1738231431.634,-42.480,-31.738,-9.766,-31.250,-280.762
1738231431.638,-44.434,-34.180,-27.832,-11.230,114.258
1738231431.642,-45.898,-37.598,-35.156,-12.207,610.352
1738231431.646,-48.340,-35.645,-33.691,-6.836,75.684
1738231431.650,-60.059,-39.062,-36.621,-16.602,-67.383
1738231431.654,-36.133,-31.738,-38.086,-34.668,434.082
1738231431.657,-19.531,-29.785,-27.344,-26.855,322.266
1738231431.661,-48.828,-41.504,-17.578,-27.344,-108.398
1738231431.665,-69.824,-32.227,-31.738,-29.297,-133.301
1738231431.669,-39.551,-23.438,-37.598,-32.227,5.371
1738231431.673,-12.695,-19.531,-31.250,-35.645,-166.504
1738231431.677,-15.625,-22.461,-38.574,-36.621,-355.469
1738231431.681,-36.621,-29.785,-54.688,-32.715,-208.496
1738231431.685,-55.176,-29.785,-59.570,-12.207,334.473
1738231431.689,-39.551,-25.391,-37.598,-15.137,99.121
1738231431.693,-23.926,-24.902,-30.762,-41.992,-296.387
1738231431.697,-25.879,-26.855,-44.922,-42.969,-42.969
1738231431.701,-27.344,-30.762,-42.969,-35.156,97.168
1738231431.704,-36.133,-30.762,-39.551,-20.996,-128.906
1738231431.708,-13.184,-18.555,-47.852,-20.020,-316.895
1738231431.712,-4.395,-15.625,-42.969,-34.668,-69.824
1738231431.716,-31.250,-14.648,-33.203,-44.922,22.461
1738231431.720,-31.250,-11.719,-38.574,-40.039,-381.348
1738231431.735,-19.043,-15.625,-44.922,-21.484,-288.574
1738231431.739,-9.766,-19.531,-36.133,-22.949,-98.145
1738231431.743,-10.254,-17.578,-35.645,-34.668,-171.387
1738231431.747,-22.949,-16.113,-39.551,-40.527,-164.062
1738231431.751,-33.691,-19.043,-36.621,-39.062,-253.418
1738231431.755,-47.852,-25.879,-50.781,-16.602,307.617
1738231431.759,-69.336,-23.926,-46.387,-31.250,575.195
1738231431.762,-41.016,-16.113,-28.320,-69.336,-129.883
1738231431.766,-17.578,-18.066,-31.738,-64.453,-317.871
